Metlifecare,ordinary,MEQ,F,2.3037,-,3.5553,-,3,-,0.9928,1.8948,15 Sep,17 Sep,1 Oct,0,,
MGM Wireless,ordinary,MWR,F,1.3,-,1.3,-,3,-,-,1.1,21 Sep,23 Sep,4 Nov,0,,
Mighty River Power,ordinary,MYT,F,9.884,-,15.2723,-,-,-,4.8766,7.4318,10 Sep,14 Sep,30 Sep,0,,
Mineral Resources,ordinary,MIN,F,15.0,-,22.5,100,3,-,30.0,32.0,2 Sep,4 Sep,8 Oct,0,,
MMA Offshore,ordinary,MRM,F,1.5,-,5.5,100,3,-,5.5,7.0,4 Sep,8 Sep,29 Sep,0,,
Monadelphous Grp,ordinary,MND,F,46.0,-,92.0,100,3,-,60.0,63.0,9 Sep,11 Sep,2 Oct,0,,
Monash IVF Grp,ordinary,MVF,F,3.7,-,6.95,100,-,-,-,-,9 Sep,11 Sep,15 Oct,0,,
Money3 Corp,ordinary,MNY,F,2.75,-,5.25,100,3,-,2.0,2.5,6 Oct,8 Oct,23 Oct,0,,
My Net Fone,ordinary,MNF,F,3.25,-,5.75,100,3,-,2.0,2.5,1 Sep,3 Sep,30 Sep,0,,
MyState,ordinary,MYS,F,14.5,-,28.5,100,-,-,14.0,14.5,9 Sep,11 Sep,2 Oct,0,,
NAOS Absolute Opp,ordinary,NAC,F,2.0,-,2.0,100,3,-,-,-,21 Oct,23 Oct,13 Nov,0,,
NAOS Emerging Opp,ordinary,NCC,F,3.0,-,6.25,100,3,-,2.75,3.0,20 Oct,22 Oct,12 Nov,0,,
National Aust Bank,ctg pre 3m per rd t-,NABPA,I,93.43,-,93.43,100,-,-,304.11,106.33,2 Sep,4 Sep,21 Sep,0,,
National Aust Bank,ctg pre 3m per rd t-,NABPB,I,95.36,-,95.36,100,-,-,204.81,104.89,31 Aug,2 Sep,17 Sep,0,,
National Aust Bank,cn 3m per q rd t-23,NABPC,I,99.69,-,99.69,100,-,-,-,-,11 Sep,15 Sep,23 Sep,0,,
Navitas,ordinary,NVT,F,10.1,-,19.5,100,3,-,9.4,10.1,28 Aug,1 Sep,15 Sep,0,,
News Corp,b voting cdi,NWS,F,9.4915,-,9.4915,-,-,-,-,-,14 Sep,16 Sep,21 Oct,0,,
News Corp,a non-voting cdi,NWSLV,F,9.4915,-,9.4915,-,-,-,-,-,14 Sep,16 Sep,21 Oct,0,,
NIB Hldgs,ordinary,NHF,F,6.0,-,11.5,100,-,-,5.25,14.75,9 Sep,11 Sep,9 Oct,0,,
Nick Scali,ordinary,NCK,F,8.0,-,15.0,100,-,-,6.0,7.0,2 Oct,7 Oct,28 Oct,0,,
Nine Entertainment,ordinary,NEC,F,5.0,-,9.2,100,-,-,-,4.2,14 Sep,16 Sep,19 Oct,0,,
Northern Star Res,ordinary,NST,F,3.0,-,5.0,100,-,-,1.0,2.5,10 Sep,14 Sep,2 Oct,0,,
NSX Sug,ordinary - national,SUG,F,3.1,-,6.2,100,-,-,-,3.0,9 Sep,11 Sep,30 Sep,0,,
Nuplex Industries,ordinary,NPX,F,12.9562,-,21.1553,-,4,-,7.9358,8.5256,24 Sep,28 Sep,12 Oct,0,,
Oil Search,ordinary,OSH,I,8.6331,-,8.6331,-,4,-,2.1844,-,4 Sep,8 Sep,29 Sep,0,,
oOh! Media,ordinary,OML,I,2.8,-,2.8,100,-,-,-,-,31 Aug,2 Sep,23 Sep,0,,
Opus Grp Ltd,ordinary,OPG,F,1.0,-,1.0,100,-,-,-,-,26 Oct,28 Oct,11 Nov,0,,
Origin Energy,ordinary,ORG,F,25.0,-,50.0,-,3,-,25.0,25.0,25 Aug,27 Aug,28 Sep,0,,
Orora,ordinary,ORA,F,4.0,-,7.5,30.00,3,-,3.0,3.0,8 Sep,10 Sep,13 Oct,0,,
OZ Minerals,ordinary,OZL,I,6.0,-,6.0,-,4,-,10.0,-,8 Sep,10 Sep,24 Sep,0,,
Pacific Energy,ordinary,PEA,F,1.5,-,2.5,100,-,-,1.0,1.5,2 Sep,4 Sep,15 Oct,0,,
PAC Smiles Grp,ordinary,PSQ,F,3.33,-,5.0,100,-,-,-,-,11 Sep,15 Sep,1 Oct,0,,
Pacific Star Network,ordinary,PNW,F,1.05,-,2.3,100,-,-,0.7,0.9,9 Sep,11 Sep,2 Oct,0,,
Pact Grp Hldgs,ordinary,PGH,F,10.0,-,19.5,65.00,4,-,-,9.5,2 Sep,4 Sep,5 Oct,0,,
Paragon Care,ordinary,PGC,F,0.8,-,1.4,100,3,-,0.5,0.75,27 Aug,31 Aug,18 Sep,0,,
Patties Foods,ordinary,PFL,F,5.0,-,5.0,100,-,-,3.2,3.9,15 Sep,17 Sep,8 Oct,0,,
Peet,ordinary,PPC,F,3.0,-,4.5,100,4,-,-,3.5,16 Sep,18 Sep,30 Sep,0,,
Pental Ltd,ordinary,PTL,F,1.8,-,2.65,100,-,-,-,0.12,9 Sep,11 Sep,30 Sep,0,,
Perpetual,ordinary,PPT,F,125.0,-,240.0,100,3,-,80.0,95.0,1 Sep,3 Sep,25 Sep,0,,
Phileo Aust,ordinary,PHI,F,2.0,-,2.0,100,-,-,-,2.0,4 Sep,8 Sep,26 Oct,0,,
Pioneer Credit,ordinary,PNC,F,6.8,-,8.55,100,3,-,-,3.1,28 Sep,30 Sep,30 Oct,0,,
Platinum Asset,ordinary,PTM,F,20.0,-,47.0,100,4,-,14.0,20.0,27 Aug,31 Aug,22 Sep,0,,
PMP,ordinary,PMP,F,1.8,-,1.8,50.00,-,-,-,-,17 Sep,21 Sep,6 Oct,0,,
Preferred Capital,tr pre 3m per q su,PCAPA,I,112.57,-,112.57,100,-,-,383.37,131.15,24 Sep,28 Sep,6 Oct,0,,
Primary Health Care,ordinary,PRY,F,11.0,-,20.0,50.00,3,3,9.0,11.0,26 Aug,28 Aug,14 Sep,0,,
Prime Financial,ordinary,PFG,F,0.4,-,0.8,100,-,-,0.4,0.4,25 Sep,29 Sep,27 Oct,0,,
Prime Media Grp,ordinary,PRT,F,3.0,-,6.8,100,-,-,4.0,2.8,3 Sep,7 Sep,24 Sep,0,,
Pro Medicus,ordinary,PME,F,1.0,-,2.0,-,-,-,1.0,1.0,9 Sep,11 Sep,2 Oct,0,,
Pro-Pac Packaging,ordinary,PPG,F,1.5,-,2.5,100,3,-,1.0,1.0,7 Sep,9 Sep,24 Sep,0,,
Prophecy Int'l,ordinary,PRO,F,2.2,-,4.2,100,-,-,2.0,0.75,15 Sep,17 Sep,8 Oct,0,,
PS&C,ordinary,PSZ,F,3.0,-,6.0,100,-,-,-,3.0,28 Sep,30 Sep,15 Oct,0,,
Pulse Health,ordinary,PHG,F,0.3,-,0.6,100,3,-,-,0.5,4 Sep,8 Sep,2 Oct,0,,
QBE Insurance Grp,ordinary,QBE,I,20.0,-,20.0,100,3,3,15.0,-,26 Aug,28 Aug,2 Oct,0,,
Qube Holdings,ordinary,QUB,F,2.8,-,5.5,100,3,-,2.4,2.7,7 Sep,9 Sep,7 Oct,0,,
QV Equities Ltd,ordinary,QVE,F,1.5,-,2.0,100,-,-,-,-,13 Oct,15 Oct,6 Nov,0,,
Ramsay Health Care,ordinary,RHC,F,60.5,-,101.0,100,-,-,34.0,51.0,4 Sep,8 Sep,24 Sep,0,,
Ramsay Health Care,tr pre 6m per q rd t,RHCPA,I,250.94,-,250.94,100,-,-,261.93,263.29,30 Sep,2 Oct,20 Oct,0,,
RCG Corp,ordinary,RCG,F,2.5,-,4.5,100,-,-,2.0,2.5,8 Sep,10 Sep,25 Sep,0,,
RCR Tomlinson,ordinary,RCR,F,7.5,-,11.0,20.00,-,-,3.0,7.0,16 Sep,18 Sep,8 Oct,0,,
REA Grp,ordinary,REA,F,40.5,-,70.0,100,-,-,22.0,35.0,25 Aug,27 Aug,14 Sep,0,,
Recall Hldgs,ordinary,REC,F,10.0,-,19.0,40.00,4,-,-,8.0,2 Oct,7 Oct,28 Oct,0,,
Reece Aust,ordinary,REH,F,52.0,-,76.0,100,-,-,22.0,42.0,6 Oct,8 Oct,28 Oct,0,,
Reef Casino Tr,units,RCT,I,13.0,-,13.0,-,-,-,8.77,-,26 Jun,30 Jun,16 Sep,0,,
Refresh Grp,ordinary,RGP,F,0.1,-,0.1,100,-,-,-,0.1,4 Sep,8 Sep,22 Sep,0,,
Regis Healthcare,ordinary,REG,F,17.6,-,17.6,64.20,-,-,-,-,3 Sep,7 Sep,21 Sep,0,,
ResMed Inc,cdi  10:1,RMD,F,3.4765,-,6.494,-,-,-,5.0655,2.5586,18 Aug,20 Aug,17 Sep,0,,
Retail Food Grp,ordinary,RFG,F,11.75,-,23.25,100,3,-,10.75,11.25,10 Sep,14 Sep,9 Oct,0,,
Reverse Corp,ordinary,REF,F,1.0,-,1.0,100,-,-,-,-,1 Sep,3 Sep,17 Sep,0,,
RFM Poultry,nsx - ordinary,RFP,I,2.5125,-,2.5125,100,4,-,2.5125,-,28 Sep,30 Sep,30 Oct,0,,
Ridley Corp,ordinary,RIC,F,2.0,-,3.5,100,-,-,1.5,2.0,22 Oct,26 Oct,30 Oct,0,,
Royal Wolf Hldgs,ordinary,RWH,F,5.0,-,9.0,100,-,-,5.0,5.5,15 Sep,17 Sep,2 Oct,0,,
Royalco Res,ordinary,RCO,F,0.5,-,1.0,100,-,-,1.0,1.0,18 Sep,22 Sep,24 Sep,1,,
Rural Funds Grp,stapled,RFF,I,2.2325,-,2.2325,-,3,-,2.1475,-,28 Sep,30 Sep,30 Oct,0,,
RXP Services,ordinary,RXP,F,1.25,-,1.25,100,-,-,-,-,14 Sep,16 Sep,9 Oct,0,,
SAI Global,ordinary,SAI,F,9.0,-,16.5,80.00,3,-,7.0,8.5,27 Aug,31 Aug,23 Sep,0,,
Sandfire Res,ordinary,SFR,F,10.0,-,13.0,100,-,-,-,10.0,8 Sep,10 Sep,24 Sep,0,,
Sandon Capital Invest,ordinary,SNC,F,3.0,-,5.0,100,4,-,2.0,-,21 Oct,23 Oct,30 Oct,0,,
Santos,ordinary,STO,I,15.0,-,15.0,100,3,-,20.0,-,26 Aug,28 Aug,30 Sep,0,,
Saunders Int'l,ordinary,SND,F,4.0,-,6.0,100,-,-,2.0,4.0,4 Sep,8 Sep,23 Sep,0,,
Schaffer Corp,ordinary,SFC,F,13.0,-,25.0,100,-,-,12.0,13.0,2 Sep,4 Sep,18 Sep,0,,
SDI,ordinary,SDI,F,1.0,-,1.4,100,4,-,0.2,0.5,8 Sep,10 Sep,25 Sep,0,,
SEALINK Travel Grp,ordinary,SLK,F,4.0,-,7.8,100,-,-,3.66,3.7,10 Sep,14 Sep,15 Oct,0,,
Sedgman,ordinary,SDM,F,6.0,-,9.5,100,4,-,2.0,2.0,7 Sep,9 Sep,23 Sep,0,,
Seek,ordinary,SEK,F,17.0,-,36.0,100,-,-,14.0,16.0,16 Sep,18 Sep,16 Oct,0,,
Select Harvests,ordinary,SHV,F,35.0,-,50.0,-,3,-,11.0,9.0,27 Aug,31 Aug,13 Oct,0,,
Servcorp,ordinary,SRV,F,11.0,-,22.0,40.00,-,-,9.0,11.0,7 Sep,9 Sep,24 Sep,0,,
Service Stream,ordinary,SSM,F,1.0,-,1.5,100,4,-,-,-,4 Sep,8 Sep,8 Oct,0,,
Seven Grp Hldgs,ordinary,SVW,F,20.0,-,40.0,100,-,-,20.0,20.0,21 Sep,23 Sep,9 Oct,0,,
Seven West Media,ordinary,SWM,F,4.0,-,10.0,100,-,-,6.0,6.0,2 Sep,4 Sep,9 Oct,0,,
Seymour White,ordinary,SWL,F,6.25,-,8.0,100,4,-,2.5,5.0,23 Sep,25 Sep,16 Oct,0,,
SG Fleet Grp Ltd,ordinary,SGF,F,6.117,-,10.842,100,4,-,-,4.0,29 Sep,1 Oct,22 Oct,0,,
Shine Corp,ordinary,SHJ,F,1.75,-,3.75,-,-,-,1.75,1.75,10 Sep,14 Sep,9 Oct,0,,
Sigma Pharmaceut,ordinary,SIP,I,2.0,-,2.0,100,-,-,-,2.0,23 Sep,25 Sep,7 Oct,1,,
Silver Chef,ordinary,SIV,F,20.0,-,36.0,100,3,-,14.0,16.0,3 Sep,7 Sep,17 Sep,0,,
Simonds Grp,ordinary,SIO,F,5.3,-,5.3,100,-,-,-,-,26 Aug,28 Aug,25 Sep,0,,
Sims Metal Mgt,ordinary,SGM,F,13.0,-,29.0,100,-,-,-,10.0,2 Oct,7 Oct,21 Oct,0,,
Sirtex Medical,ordinary,SRX,F,20.0,-,20.0,100,-,-,-,14.0,28 Sep,30 Sep,21 Oct,0,,
Skilled Grp,ordinary,SKE,F,9.5,-,17.0,100,4,-,7.5,9.5,2 Oct,7 Oct,15 Oct,0,,
SkyCity Entertain,ordinary,SKC,F,7.8642,-,15.9341,-,3,-,7.8348,9.0465,16 Sep,18 Sep,2 Oct,0,,
Skydive The Beach,ordinary,SKB,F,1.0,-,1.0,100,-,-,-,-,16 Oct,20 Oct,30 Oct,0,,
Slater & Gordon,ordinary,SGH,F,5.5,-,9.0,40.00,3,-,3.0,5.0,18 Sep,22 Sep,29 Oct,0,,
Smartgroup Corp,ordinary,SIQ,I,7.9,-,7.9,100,-,-,-,-,11 Sep,15 Sep,30 Sep,0,,
SMS Management,ordinary,SMX,F,10.0,-,17.0,100,-,-,5.0,7.5,14 Oct,16 Oct,6 Nov,0,,
Sonic Healthcare,ordinary,SHL,F,41.0,-,70.0,55.00,3,-,27.0,40.0,9 Sep,11 Sep,22 Oct,0,,
Spark Infrastructure,stapled us prohibt.,SKI,I,6.0,-,6.0,-,4,-,5.75,-,2 Sep,4 Sep,15 Sep,0,,
Spark New Zealand,ordinary,SPK,F,9.8983,-,18.7124,-,4,-,-,8.2252,23 Sep,25 Sep,9 Oct,0,,
SpeedCast Intl,ordinary,SDA,I,3.0,-,3.0,100,4,-,-,-,4 Sep,8 Sep,6 Oct,0,,
Spotless Group,ordinary,SPO,F,5.5,-,10.0,-,-,-,-,-,2 Sep,4 Sep,25 Sep,0,,
SRG,ordinary,STS,F,0.5,-,2.5,100,-,-,2.5,1.5,16 Sep,18 Sep,16 Oct,0,,
Steadfast Group,ordinary,SDF,F,3.0,-,5.0,100,3,-,1.8,2.7,11 Sep,15 Sep,14 Oct,0,,
Steamships Trading,ordinary,SST,I,39.5456,-,39.5456,-,-,-,28.6442,-,3 Sep,7 Sep,30 Sep,0,,
Sthn X Elect Engnr,ordinary,SXE,F,2.7,-,2.7,100,-,-,-,2.7,17 Sep,21 Sep,15 Oct,0,,
Sthn Cross Media,ordinary,SXL,F,3.0,-,6.0,100,3,-,4.5,3.0,25 Sep,29 Sep,4 Nov,0,,
STW Comms,ordinary,SGN,I,2.1,-,2.1,100,3,-,3.3,-,31 Aug,2 Sep,23 Sep,0,,
Suncorp Grp,ordinary,SUN,F,50.0,-,88.0,100,3,-,35.0,70.0,11 Aug,13 Aug,22 Sep,0,,
Suncorp Grp,ctg pre 3m per rd t,SUNPC,I,120.07,-,120.07,100,-,-,379.79,129.59,8 Sep,10 Sep,17 Sep,0,,
Suncorp Grp,cn 3m 11-23 q rd,SUNPD,I,123.78,-,123.78,-,-,-,141.26,-,11 Nov,13 Nov,23 Nov,0,,
Suncorp Grp,ctg pre 3m per rd t,SUNPE,I,98.01,-,98.01,100,-,-,46.67,107.54,1 Sep,3 Sep,17 Sep,0,,
Super Retail Grp,ordinary,SUL,F,21.5,-,40.0,100,3,-,18.5,21.5,28 Aug,1 Sep,2 Oct,0,,
Supply Net,ordinary,SNL,F,5.0,-,30.0,100,4,-,4.0,5.0,9 Sep,11 Sep,30 Sep,0,,
Tabcorp Hldgs,ordinary,TAH,F,10.0,-,50.0,100,3,-,8.0,8.0,18 Aug,20 Aug,24 Sep,0,,
Tamawood,ordinary,TWD,F,15.0,-,25.0,100,-,-,8.0,13.0,17 Nov,19 Nov,3 Dec,0,,
Tassal Grp,ordinary,TGR,F,7.0,-,14.0,50.00,-,-,5.5,6.0,9 Sep,11 Sep,30 Sep,0,,
Tatts Grp,ordinary,TTS,F,7.5,-,16.5,100,3,-,8.0,5.5,1 Sep,3 Sep,5 Oct,0,,
Techniche,ordinary,TCN,F,0.49,-,0.49,-,-,-,-,0.22,8 Sep,10 Sep,30 Sep,0,,
Telstra Corp,ordinary,TLS,F,15.5,-,30.5,100,3,-,14.5,15.0,25 Aug,27 Aug,25 Sep,0,,
Templeton Global,ordinary,TGG,F,4.1,-,4.1,17.07,3,-,-,3.5,9 Sep,11 Sep,25 Sep,0,,
TFS Corp,ordinary,TFC,F,3.0,-,3.0,100,3,-,-,3.0,8 Oct,12 Oct,9 Nov,0,,
The Citadel Grp,ordinary,CGL,I,5.8,-,5.8,100,-,-,-,-,27 Aug,31 Aug,30 Sep,0,,
THE Pas Grp Ltd,ordinary,PGR,F,3.1,-,5.0,100,-,-,-,-,16 Sep,18 Sep,9 Oct,0,,
The Reject Shop,ordinary,TRS,F,13.5,-,30.0,100,-,-,21.5,8.5,23 Sep,25 Sep,12 Oct,0,,
Theta Asset Mgt,theta-acbc dxs 09-18,YTMDXS,I,287.5,-,287.5,-,-,-,-,-,31 Aug,2 Sep,15 Sep,0,,
Theta Asset Mgt,theta-acbc mgr 09-20,YTMMGR,I,287.5,-,287.5,-,-,-,-,-,8 Sep,10 Sep,23 Sep,0,,
Theta Asset Mgt,theta-acbc wes 03-20,YTMWE1,I,237.5,-,237.5,-,-,-,-,-,2 Sep,4 Sep,17 Sep,0,,
Theta Asset Mgt,theta-acbc wes 03-19,YTMWES,I,312.5,-,312.5,-,-,-,-,-,16 Sep,18 Sep,6 Oct,0,,
Theta Asset Mgt,theta-acbc wow 03-19,YTMWOW,I,300.0,-,300.0,-,-,-,-,-,9 Sep,11 Sep,24 Sep,0,,
ThinkSmart,ordinary,TSM,F,3.5,-,3.5,100,-,-,3.6,-,1 Sep,3 Sep,14 Sep,0,,
Thorney Opportun,ordinary,TOP,F,0.5,-,0.5,100,3,-,-,-,16 Sep,18 Sep,14 Oct,0,,
Tox Free Solutions,ordinary,TOX,F,4.5,-,8.5,100,3,-,3.0,3.0,3 Sep,7 Sep,29 Sep,0,,
Trade Me Grp,ordinary,TME,F,7.6315,-,15.0723,-,-,-,7.1622,7.577,9 Sep,11 Sep,22 Sep,0,,
Traditional Therapy,ordinary,TTC,I,1.7,-,1.7,-,-,-,-,-,29 Sep,1 Oct,30 Oct,1,,
Transpacific Indust,ordinary,TPI,F,0.8,-,1.5,100,3,-,-,1.5,16 Sep,18 Sep,9 Oct,0,,
Treasury Grp,ordinary,TRG,F,28.0,-,52.0,100,-,-,23.0,27.0,1 Sep,3 Sep,30 Sep,0,,
Treasury Wine,ordinary,TWE,F,8.0,-,14.0,-,4,-,6.0,7.0,2 Sep,4 Sep,2 Oct,0,,
Utd Overseas Aust,ordinary,UOS,I,0.5,-,0.5,-,3,-,0.5,-,14 Oct,16 Oct,4 Nov,0,,
US Residential Fund,stapled securities,USR,F,2.3,-,2.3,-,3,-,-,-,3 Jul,7 Jul,18 Sep,0,,
UXC,ordinary,UXC,F,3.6,-,5.3,100,3,-,0.75,3.0,9 Sep,11 Sep,6 Oct,0,,
Vealls,capital,VELCP,F,0.5,-,0.5,100,-,-,-,0.5,12 Oct,14 Oct,30 Oct,0,,
Vealls,income,VELIN,F,5.4,-,10.8,100,-,-,5.3,5.3,12 Oct,14 Oct,30 Oct,0,,
Vealls,7.0% cum. preference,VELPA,F,0.35,-,0.7,100,-,-,0.35,0.35,12 Oct,14 Oct,30 Oct,0,,
Veda Grp,ordinary,VED,F,6.0,-,6.0,-,-,-,-,4.0,8 Sep,10 Sep,8 Oct,0,,
Villa World Grp,ordinary,VLW,F,10.0,-,16.0,100,-,-,6.0,9.0,1 Sep,3 Sep,30 Sep,0,,
Village Roadshow,ordinary,VRL,F,14.0,-,28.0,100,-,-,15.0,14.0,10 Sep,14 Sep,6 Oct,0,,
Virtus Health Ltd,ordinary,VRT,F,14.0,-,27.0,100,-,-,12.0,14.0,30 Sep,2 Oct,16 Oct,0,,
Vision Eye Institute,ordinary,VEI,F,2.5,-,2.5,100,4,-,-,1.25,28 Aug,1 Sep,30 Sep,0,,
Vita Grp,ordinary,VTG,F,5.86,-,12.98,100,3,-,3.0,-,1 Sep,3 Sep,8 Oct,0,,
Vita Life Sciences,ordinary,VSC,I,1.5,-,1.5,-,-,-,1.5,-,15 Sep,17 Sep,24 Sep,0,,
Vocus Comms,ordinary,VOC,F,2.0,-,7.1,100,-,-,0.8,1.0,8 Sep,10 Sep,24 Sep,0,,
WAM Active,ordinary,WAA,F,2.5,-,2.5,100,3,-,4.8,4.8,19 Oct,21 Oct,30 Oct,0,,
WAM Capital,ordinary,WAM,F,7.0,-,14.0,100,3,-,6.5,6.5,19 Oct,21 Oct,30 Oct,0,,
WAM Research,ordinary,WAX,F,4.0,-,8.0,100,3,-,3.75,3.75,12 Oct,14 Oct,23 Oct,0,,
Waterco,ordinary,WAT,F,5.0,-,5.0,100,3,-,3.0,3.0,11 Nov,13 Nov,14 Dec,0,,
Watermark Mkt fd,ordinary,WMK,F,2.5,-,4.5,50.00,-,-,2.5,2.5,6 Oct,8 Oct,20 Oct,0,,
Webjet,ordinary,WEB,F,7.25,-,13.5,100,-,-,6.25,7.25,28 Sep,30 Sep,15 Oct,0,,
Webster,ordinary,WBA,F,1.0,-,1.0,100,-,-,1.5,2.0,2 Oct,7 Oct,30 Oct,0,,
Webster,9% cumulative pref,WBAPA,F,4.5,-,9.0,100,-,-,4.5,4.5,16 Sep,18 Sep,30 Sep,0,,
Wellcom Grp,ordinary,WLL,F,12.0,-,20.5,100,-,-,8.0,11.0,2 Sep,4 Sep,18 Sep,0,,
Wesfarmers,ordinary,WES,F,111.0,-,200.0,100,3,-,85.0,115.0,25 Aug,27 Aug,30 Sep,0,,
Western Areas,ordinary,WSA,F,4.0,-,7.0,100,-,-,1.0,4.0,8 Sep,10 Sep,8 Oct,0,,
Westpac Banking,ctg pre 6m per rd t,WBCPC,F,191.45,-,400.87,100,-,-,-,208.94,18 Sep,22 Sep,30 Sep,0,,
Westpac Banking,cn 3m per q rd t-22,WBCPE,I,91.87,-,91.87,100,-,-,-,101.54,11 Sep,15 Sep,23 Sep,0,,
Westpac TPS Tr,tr bnd 3m per q t-16,WCTPA,F,55.4,-,111.13,100,-,-,64.84,-,11 Sep,15 Sep,30 Sep,0,,
Wilson Grp,ordinary,WIG,I,2.25,-,2.25,100,-,-,-,2.75,3 Sep,7 Sep,18 Sep,0,,
Woodside Petroleum,ordinary,WPL,I,92.0759,-,92.0759,100,4,-,118.8691,-,26 Aug,28 Aug,23 Sep,0,,
Woolworths,ordinary,WOW,F,72.0,-,139.0,100,3,-,65.0,72.0,9 Sep,11 Sep,9 Oct,0,,
WorleyParsons,ordinary,WOR,F,22.0,-,56.0,-,-,-,34.0,51.0,31 Aug,2 Sep,30 Sep,0,,
XRF Scientific,ordinary,XRF,F,0.7,-,1.2,100,-,-,-,1.1,9 Sep,11 Sep,25 Sep,0,,
Zicom Grp,ordinary,ZGL,F,0.35,-,0.7,-,-,-,0.45,0.45,18 Nov,20 Nov,4 Dec,0,,
Zimplats Hldgs,ordinary,ZIM,F,16.952,-,16.952,-,-,-,-,-,7 Sep,9 Sep,23 Sep,0,,
,
